Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Application\Application.csproj,File,Application\Application.csproj,,,Microsoft.Extensions.Configuration 8.0.0,,,,,"Microsoft.Extensions.Configuration, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration, and replace with new package Microsoft.Extensions.Configuration 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Application\Application.csproj,File,Application\Application.csproj,,,Microsoft.Extensions.Logging 8.0.0,,,,,"Microsoft.Extensions.Logging, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Logging, and replace with new package Microsoft.Extensions.Logging 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Application\Application.csproj,File,Application\Application.csproj,,,Microsoft.Extensions.Logging.Console 8.0.0,,,,,"Microsoft.Extensions.Logging.Console, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Logging.Console, and replace with new package Microsoft.Extensions.Logging.Console 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Application\Application.csproj,File,Application\Application.csproj,,,Microsoft.Extensions.Logging.Debug 8.0.0,,,,,"Microsoft.Extensions.Logging.Debug, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Logging.Debug, and replace with new package Microsoft.Extensions.Logging.Debug 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Application\Application.csproj,File,Application\Application.csproj,,,Microsoft.Extensions.Logging.EventLog 8.0.0,,,,,"Microsoft.Extensions.Logging.EventLog, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Logging.EventLog, and replace with new package Microsoft.Extensions.Logging.EventLog 10.0.8"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,Application\Application.csproj,File,Application\Application.csproj,,,Microsoft.AspNetCore.Http 2.2.2,,,,,"Microsoft.AspNetCore.Http, 2.2.2  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.AspNetCore.Http, and replace with new package Microsoft.AspNetCore.Http, 2.3.10"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Application\Application.csproj,File,Application\Application.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Application\Application.csproj,File,Application\Services\Strategies\CircuitBasedAuthenticationStrategy.cs,450,8,M:System.TimeSpan.FromSeconds(System.Double),,,,,_cacheExpiry = DateTime.UtcNow.Add(TimeSpan.FromSeconds(30));
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Application\Application.csproj,File,Application\Services\Infrastructure\EventQueueService.cs,693,12,"M:System.Text.Json.JsonSerializer.Deserialize(System.String,System.Type,System.Text.Json.JsonSerializerOptions)",,,,,"var uiEvent = (IBaseUIEvent?)JsonSerializer.Deserialize(queuedEvent.EventData, eventType, EventJsonOptions);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Application\Application.csproj,File,Application\Services\Infrastructure\EventQueueService.cs,658,12,"M:System.Text.Json.JsonSerializer.Deserialize(System.String,System.Type,System.Text.Json.JsonSerializerOptions)",,,,,"var integrationEvent = (IBaseIntegrationEvent?)System.Text.Json.JsonSerializer.Deserialize(queuedEvent.EventData, eventType);"
